,Weight,Pred_Weight,Residuals
0,6.7,6.85,-0.14999999999999947
1,170.0,160.0,10.0
2,900.0,957.5,-57.5
3,714.0,719.5,-5.5
4,85.0,85.0,0.0
5,9.7,9.75,-0.05000000000000071
6,120.0,115.0,5.0
7,430.0,410.0,20.0
8,925.0,950.0,-25.0
9,510.0,505.0,5.0
10,7.0,6.85,0.15000000000000036
11,145.0,157.5,-12.5
12,700.0,700.0,0.0
13,1000.0,950.0,50.0
14,475.0,407.5,67.5
15,700.0,695.0,5.0
16,8.7,9.25,-0.5500000000000007
17,300.0,300.0,0.0
18,242.0,266.0,-24.0
19,840.0,762.5,77.5
20,150.0,160.0,-10.0
21,160.0,160.0,0.0
22,188.0,192.5,-4.5
23,850.0,787.5,62.5
24,110.0,115.0,-5.0
25,250.0,255.0,-5.0
26,725.0,719.5,5.5
27,680.0,702.5,-22.5
28,514.0,607.0,-93.0
29,120.0,115.0,5.0
30,13.4,12.8,0.5999999999999996
31,180.0,175.0,5.0
32,12.2,12.8,-0.6000000000000014
33,500.0,520.0,-20.0
34,169.0,184.5,-15.5
35,685.0,692.5,-7.5
36,60.0,75.0,-15.0
37,40.0,45.75,-5.75
38,975.0,950.0,25.0
39,9.9,9.850000000000001,0.049999999999998934
40,1000.0,1000.0,0.0
41,90.0,105.0,-15.0
42,250.0,255.0,-5.0
43,170.0,157.5,12.5
44,390.0,331.0,59.0
45,450.0,450.0,0.0
46,200.0,250.0,-50.0
47,690.0,695.0,-5.0
48,200.0,184.5,15.5
49,40.0,59.0,-19.0
50,85.0,85.0,0.0
51,78.0,81.5,-3.5
52,950.0,962.5,-12.5
53,160.0,160.0,0.0
54,390.0,376.5,13.5
55,145.0,152.5,-7.5
56,300.0,222.5,77.5
57,700.0,692.5,7.5
58,150.0,140.0,10.0
59,125.0,130.0,-5.0
60,950.0,1100.0,-150.0
61,1250.0,1100.0,150.0
62,110.0,117.5,-7.5
63,450.0,450.0,0.0
64,340.0,407.5,-67.5
65,1000.0,900.0,100.0
66,345.0,322.5,22.5
67,363.0,376.5,-13.5
68,700.0,700.0,0.0
69,87.0,82.5,4.5
70,32.0,36.0,-4.0
71,540.0,520.0,20.0
72,500.0,475.0,25.0
73,300.0,300.0,0.0
74,218.0,239.0,-21.0
75,340.0,315.0,25.0
76,1015.0,957.5,57.5
77,120.0,135.0,-15.0
78,900.0,900.0,0.0
79,270.0,405.0,-135.0
80,320.0,310.0,10.0
81,180.0,174.5,5.5
82,12.2,12.8,-0.6000000000000014
83,800.0,900.0,-100.0
84,161.0,165.0,-4.0
85,135.0,132.5,2.5
86,685.0,630.0,55.0
87,540.0,670.0,-130.0
88,9.8,9.850000000000001,-0.05000000000000071
89,300.0,300.0,0.0
90,78.0,82.5,-4.5
91,9.8,9.25,0.5500000000000007
92,290.0,315.0,-25.0
93,272.0,226.0,46.0
94,300.0,322.5,-22.5
95,265.0,262.5,2.5
96,197.0,192.5,4.5
97,650.0,675.0,-25.0
98,130.0,132.5,-2.5
99,51.5,45.75,5.75
100,820.0,860.0,-40.0
101,19.9,16.049999999999997,3.8500000000000014
102,575.0,637.5,-62.5
103,5.9,18.95,-13.049999999999999
104,300.0,310.0,-10.0
105,600.0,650.0,-50.0
106,145.0,140.0,5.0
107,260.0,262.5,-2.5
