,Species,Pred_Species
0,Pike,Pike
1,Bream,Bream
2,Perch,Perch
3,Parkki,Parkki
4,Perch,Perch
5,Bream,Bream
6,Perch,Perch
7,Pike,Pike
8,Roach,Roach
9,Bream,Bream
10,Bream,Bream
11,Parkki,Parkki
12,Smelt,Smelt
13,Parkki,Parkki
14,Bream,Bream
15,Perch,Perch
16,Bream,Bream
17,Perch,Perch
18,Perch,Perch
19,Bream,Bream
20,Perch,Perch
21,Parkki,Parkki
22,Roach,Roach
23,Perch,Perch
24,Bream,Bream
25,Roach,Roach
26,Smelt,Smelt
27,Bream,Bream
28,Bream,Bream
29,Perch,Perch
30,Roach,Roach
31,Perch,Perch
32,Perch,Perch
33,Smelt,Smelt
34,Pike,Pike
35,Roach,Roach
36,Perch,Perch
37,Parkki,Parkki
38,Perch,Perch
39,Bream,Bream
40,Perch,Perch
41,Perch,Perch
42,Perch,Perch
43,Parkki,Parkki
44,Perch,Perch
45,Perch,Perch
46,Roach,Roach
47,Bream,Bream
48,Perch,Perch
49,Perch,Perch
50,Roach,Roach
51,Roach,Perch
52,Perch,Perch
53,Perch,Perch
54,Bream,Bream
55,Roach,Roach
56,Bream,Bream
57,Roach,Roach
58,Parkki,Parkki
59,Smelt,Smelt
60,Perch,Perch
61,Perch,Perch
62,Pike,Pike
63,Pike,Pike
64,Perch,Perch
65,Bream,Bream
66,Perch,Perch
67,Bream,Bream
68,Whitefish,Whitefish
69,Pike,Pike
70,Bream,Bream
71,Bream,Bream
72,Roach,Roach
73,Perch,Perch
74,Pike,Pike
75,Bream,Bream
76,Pike,Pike
77,Perch,Perch
78,Bream,Bream
79,Perch,Perch
80,Parkki,Parkki
81,Whitefish,Whitefish
82,Perch,Perch
83,Roach,Roach
84,Smelt,Smelt
85,Whitefish,Whitefish
86,Roach,Roach
87,Perch,Perch
88,Bream,Bream
89,Whitefish,Whitefish
90,Smelt,Smelt
91,Pike,Pike
92,Roach,Roach
93,Smelt,Smelt
94,Bream,Bream
95,Roach,Roach
96,Pike,Pike
97,Perch,Perch
98,Perch,Perch
99,Perch,Perch
100,Perch,Perch
101,Perch,Perch
102,Perch,Perch
103,Smelt,Smelt
104,Bream,Bream
105,Perch,Perch
106,Perch,Perch
107,Bream,Bream
108,Perch,Perch
109,Perch,Perch
110,Bream,Bream
111,Bream,Bream
112,Bream,Bream
113,Bream,Bream
114,Bream,Bream
115,Bream,Bream
116,Bream,Bream
117,Bream,Bream
118,Bream,Bream
119,Bream,Bream
120,Bream,Bream
121,Bream,Bream
122,Bream,Bream
123,Bream,Bream
124,Bream,Bream
125,Bream,Bream
126,Bream,Bream
127,Parkki,Parkki
128,Parkki,Parkki
129,Parkki,Parkki
130,Parkki,Parkki
131,Parkki,Parkki
132,Parkki,Parkki
133,Parkki,Parkki
134,Parkki,Parkki
135,Parkki,Parkki
136,Parkki,Parkki
137,Parkki,Parkki
138,Parkki,Parkki
139,Parkki,Parkki
140,Parkki,Parkki
141,Parkki,Parkki
142,Parkki,Parkki
143,Parkki,Parkki
144,Parkki,Parkki
145,Parkki,Parkki
146,Parkki,Parkki
147,Parkki,Parkki
148,Parkki,Parkki
149,Parkki,Parkki
150,Parkki,Parkki
151,Parkki,Parkki
152,Parkki,Parkki
153,Parkki,Parkki
154,Parkki,Parkki
155,Parkki,Parkki
156,Parkki,Parkki
157,Parkki,Parkki
158,Parkki,Parkki
159,Parkki,Parkki
160,Pike,Pike
161,Pike,Pike
162,Pike,Pike
163,Pike,Pike
164,Pike,Pike
165,Pike,Pike
166,Pike,Pike
167,Pike,Pike
168,Pike,Pike
169,Pike,Pike
170,Pike,Pike
171,Pike,Pike
172,Pike,Pike
173,Pike,Pike
174,Pike,Pike
175,Pike,Pike
176,Pike,Pike
177,Pike,Pike
178,Pike,Pike
179,Pike,Pike
180,Pike,Pike
181,Pike,Pike
182,Pike,Pike
183,Pike,Pike
184,Pike,Pike
185,Pike,Pike
186,Pike,Pike
187,Pike,Pike
188,Pike,Pike
189,Pike,Pike
190,Pike,Pike
191,Roach,Roach
192,Roach,Roach
193,Roach,Roach
194,Roach,Roach
195,Roach,Roach
196,Roach,Roach
197,Roach,Roach
198,Roach,Roach
199,Roach,Roach
200,Roach,Roach
201,Roach,Roach
202,Roach,Roach
203,Roach,Roach
204,Roach,Roach
205,Roach,Roach
206,Roach,Roach
207,Roach,Roach
208,Roach,Roach
209,Roach,Roach
210,Roach,Roach
211,Roach,Roach
212,Roach,Roach
213,Roach,Roach
214,Roach,Roach
215,Roach,Roach
216,Roach,Roach
217,Smelt,Smelt
218,Smelt,Smelt
219,Smelt,Smelt
220,Smelt,Smelt
221,Smelt,Smelt
222,Smelt,Smelt
223,Smelt,Smelt
224,Smelt,Smelt
225,Smelt,Smelt
226,Smelt,Smelt
227,Smelt,Smelt
228,Smelt,Smelt
229,Smelt,Smelt
